Generation	Max Fitness	Min Fitness	Avg Fitness	maxHp	hpRegen	baseDmg	critRate	critDmg	hitRate	dodgeRate	blockRate	blockPower
0	1416	180	878	115	34	124	2	150	220	229	0	118	
1	1442	200	939	19	34	124	2	150	220	229	0	118	
2	1444	315	962	133	22	152	146	16	68	157	23	48	
3	1731	334	988	120	21	80	35	107	152	244	58	113	
4	1445	335	1008	42	64	78	130	52	93	219	27	57	
5	1485	443	1022	148	12	80	32	107	152	244	58	79	
6	1556	425	1040	72	0	146	140	3	183	252	41	41	
7	1795	414	1050	72	0	205	20	3	183	252	41	41	
8	1935	465	1058	72	146	132	51	203	182	203	164	41	
9	1956	455	1083	72	0	205	20	3	183	213	41	41	
10	1735	596	1091	213	56	92	208	133	111	243	21	48	
11	1802	456	1109	233	94	209	2	183	111	248	41	17	
12	1806	624	1133	120	0	146	140	3	183	252	0	21	
13	1824	626	1159	120	0	146	140	3	183	252	0	21	
14	1764	585	1176	91	83	186	20	3	134	203	59	4	
15	1845	666	1196	182	31	205	25	82	183	234	54	27	
16	1845	637	1210	133	31	205	20	80	183	234	54	27	
17	2002	623	1230	64	0	177	81	3	126	252	41	17	
18	1983	673	1241	64	147	65	30	158	183	252	41	17	
19	2044	724	1265	74	120	186	20	3	141	237	59	4	
20	2026	724	1293	110	115	183	66	3	126	252	41	17	
21	2022	713	1308	73	12	186	20	3	111	220	59	4	
22	1982	716	1323	73	12	186	20	3	141	27	59	4	
23	1985	646	1333	90	41	125	11	3	197	237	3	39	
24	1878	756	1351	90	12	226	20	95	213	248	3	17	
25	2033	774	1365	238	65	205	73	78	249	252	26	17	
26	2023	817	1382	91	20	236	146	3	145	248	27	48	
27	1913	864	1391	244	56	205	25	3	171	205	12	18	
28	2099	856	1401	19	39	200	20	3	111	214	9	17	
29	2164	814	1411	50	9	152	11	29	183	252	56	4	
30	2151	837	1416	49	29	125	11	29	183	252	56	4	
31	2033	887	1421	49	29	125	2	29	183	252	56	4	
32	2113	855	1436	93	12	205	20	94	190	254	22	4	
