Generation	Max Fitness	Min Fitness	Avg Fitness	maxHp	hpRegen	baseDmg	critRate	critDmg	hitRate	dodgeRate	blockRate	blockPower
0	1465	181	905	37	36	174	49	32	184	170	84	30	
1	1395	541	993	37	104	120	205	126	184	170	84	30	
2	1433	540	1003	97	100	83	81	68	126	224	18	76	
3	1445	585	1019	77	36	174	49	13	159	217	163	91	
4	1525	475	1027	107	25	251	64	56	251	212	55	23	
5	1615	475	1080	98	25	251	64	56	251	212	55	23	
6	1535	479	1110	107	72	121	5	74	126	249	111	76	
7	1553	635	1149	137	132	119	161	99	126	249	18	76	
8	1554	651	1153	1	110	185	64	99	126	249	18	76	
9	1535	715	1173	1	110	185	64	99	126	249	18	76	
10	1805	655	1187	133	86	105	5	18	221	224	18	8	
11	1715	674	1199	59	53	105	30	18	221	228	18	76	
12	1715	505	1160	238	71	105	5	18	221	224	18	8	
13	1625	764	1178	129	180	63	130	60	61	55	18	8	
14	1745	694	1226	107	97	121	30	105	55	251	2	145	
15	1755	763	1262	59	53	105	236	18	227	249	18	115	
16	2095	923	1300	1	8	205	5	249	221	199	18	8	
17	2005	894	1291	1	8	205	5	141	221	224	18	8	
18	2005	585	1299	73	8	205	5	18	221	224	18	8	
19	2123	705	1302	1	95	105	5	18	227	249	18	8	
20	2135	845	1303	1	95	105	5	18	252	251	18	8	
21	2111	715	1343	1	95	105	236	18	251	251	18	8	
22	2111	745	1383	1	95	105	5	249	227	224	18	8	
23	1945	825	1376	26	95	105	236	18	221	249	18	8	
24	1953	844	1414	169	95	105	5	18	252	226	18	51	
25	2092	855	1442	1	95	105	5	18	202	224	18	8	
26	2090	903	1487	1	53	105	161	18	202	224	18	33	
27	1951	995	1484	169	70	105	5	18	202	251	2	76	
28	2034	1034	1532	1	66	167	5	18	196	251	2	76	
29	2025	1054	1561	107	66	167	5	43	221	251	18	33	
30	2125	1075	1562	1	66	167	5	18	221	251	18	8	
31	2115	1145	1573	1	66	142	5	18	221	251	18	8	
32	2203	855	1552	129	70	105	161	166	221	251	18	8	
33	2204	854	1558	1	66	167	128	18	202	251	18	8	
34	2203	1054	1544	129	95	167	5	18	246	193	18	8	
35	2004	755	1530	1	66	142	5	141	252	251	18	76	
36	2004	742	1483	1	95	167	64	18	134	251	18	8	
37	2091	741	1461	154	95	105	5	18	196	251	2	8	
38	2071	891	1515	1	95	251	5	18	196	251	2	8	
39	2071	904	1521	169	66	80	5	43	196	251	2	8	
40	2015	985	1472	26	45	251	5	18	134	20	2	76	
41	2135	895	1493	154	78	105	5	18	221	251	2	8	
42	2062	973	1541	169	95	251	105	18	226	20	2	76	
43	2204	1085	1545	169	95	105	105	18	226	251	2	8	
44	1894	985	1550	129	70	167	5	18	202	251	2	8	
45	1891	935	1539	169	95	105	5	18	196	251	2	8	
46	2245	453	1527	1	70	167	5	18	196	251	2	8	
47	2251	715	1576	169	70	167	5	18	196	251	2	8	
48	1895	633	1582	129	70	167	5	18	196	251	2	8	
49	1913	904	1600	129	66	167	5	18	196	251	2	8	
50	2021	865	1590	1	70	105	105	18	202	251	18	8	
51	2022	990	1620	129	95	130	5	18	196	226	18	8	
52	2112	952	1653	129	45	167	5	18	171	226	2	8	
53	2162	1255	1682	1	70	192	5	18	202	251	2	8	
54	2182	1345	1693	154	120	167	5	18	171	226	2	8	
55	1975	1265	1673	129	45	105	5	18	196	251	2	8	
56	1984	1215	1679	129	53	130	5	18	202	251	2	8	
57	2151	1073	1694	26	95	167	5	18	171	251	2	8	
58	2125	1145	1669	26	226	167	5	18	171	251	2	8	
59	2074	1225	1651	1	70	105	5	18	202	251	2	8	
60	2164	1075	1661	1	70	105	5	18	202	251	2	8	
61	1915	1075	1590	169	70	130	5	18	202	251	27	8	
62	1935	1104	1611	129	53	167	5	18	221	251	2	8	
63	2064	1104	1597	169	120	105	5	249	202	251	2	8	
64	2064	1075	1607	104	45	167	5	43	171	251	2	8	
65	1976	1035	1605	129	45	130	5	18	171	251	2	8	
66	2044	1164	1612	104	70	142	5	43	171	251	2	8	
67	2024	1165	1593	169	20	130	5	18	171	251	2	8	
68	1982	1135	1590	129	45	130	5	18	171	251	233	8	
69	1974	1014	1549	194	103	80	5	18	177	251	2	8	
70	1935	995	1540	144	45	167	5	18	171	251	2	8	
71	1953	934	1581	144	103	80	30	18	171	251	2	8	
72	1974	1135	1608	129	103	167	5	18	171	251	2	239	
73	1985	1045	1648	194	120	130	5	18	177	251	2	8	
74	2004	1085	1622	104	45	130	5	43	171	251	2	8	
75	2095	1035	1619	104	78	130	5	18	171	251	2	8	
76	2094	1084	1618	129	45	130	5	18	196	251	2	8	
77	2025	1144	1652	129	103	130	5	18	196	251	2	8	
78	2035	1134	1642	194	45	130	5	249	171	251	2	8	
79	2025	1135	1605	104	78	130	5	18	171	251	2	8	
80	2023	1055	1579	129	45	155	5	18	196	251	2	8	
81	2030	1124	1631	129	45	130	5	18	196	251	2	8	
82	2024	1081	1629	194	103	55	5	18	171	251	2	8	
83	2065	1194	1667	104	45	130	5	18	171	226	27	8	
84	2035	1135	1682	129	70	130	5	18	196	251	2	8	
85	2075	1124	1663	129	20	130	5	18	196	251	2	8	
86	2074	1125	1637	129	20	130	5	18	196	251	2	8	
87	2004	1115	1660	129	45	130	5	18	196	251	2	8	
88	2024	1125	1641	129	45	130	5	18	177	251	27	8	
89	1984	1105	1631	129	45	130	5	18	171	251	2	8	
90	1975	985	1617	129	201	130	30	249	177	251	2	8	
91	2004	985	1640	169	45	130	5	18	196	251	2	8	
92	2004	965	1638	104	95	130	5	18	196	251	2	8	
93	1974	915	1643	129	45	130	5	18	196	251	52	8	
94	2005	1145	1669	129	70	105	5	18	177	251	2	8	
95	1983	1045	1648	169	45	155	5	18	196	251	2	8	
96	2022	765	1664	169	95	130	5	18	196	251	2	8	
97	2023	865	1658	129	45	130	5	18	196	251	2	8	
98	2023	1135	1679	129	70	155	30	18	196	251	2	8	
99	2055	1125	1717	144	95	130	5	18	196	251	2	8	
100	1985	1155	1719	129	70	130	30	18	171	251	2	8	
