Generation	Max Fitness	Min Fitness	Avg Fitness	maxHp	hpRegen	baseDmg	critRate	critDmg	hitRate	dodgeRate	blockRate	blockPower
0	1622	200	870	16	54	85	121	37	193	240	51	71	
1	1613	200	926	16	54	85	121	37	193	240	51	71	
2	1643	245	980	16	54	85	121	37	193	240	51	71	
3	1625	270	1026	5	11	233	72	37	193	240	51	71	
4	1625	552	1043	16	54	85	121	37	193	240	51	71	
5	1772	505	1056	16	54	85	72	37	184	241	191	64	
6	1815	575	1095	18	21	71	72	37	193	240	51	71	
7	1862	585	1143	16	54	85	121	2	230	39	74	6	
8	1853	455	1127	18	21	71	199	37	193	240	51	71	
9	1834	495	1145	52	45	53	208	37	193	240	51	71	
10	1666	703	1171	18	45	213	31	59	150	247	40	2	
11	1894	545	1180	18	134	155	236	178	193	63	40	2	
12	1664	675	1166	16	150	157	8	178	193	247	20	95	
13	1715	525	1174	18	134	71	72	37	150	240	51	64	
14	1675	805	1183	16	121	155	236	75	204	247	20	95	
15	1735	784	1185	18	134	59	72	226	181	240	24	27	
16	1665	745	1218	23	14	228	49	37	232	252	51	64	
17	1705	662	1229	224	45	213	72	37	154	247	33	27	
18	1644	674	1221	180	13	71	72	37	180	108	51	27	
19	1726	765	1247	23	14	71	9	62	154	240	51	95	
20	1892	835	1286	182	121	155	236	12	180	225	40	69	
21	1911	605	1279	16	14	59	121	37	225	247	24	44	
22	1914	585	1301	125	7	99	188	37	204	240	51	44	
23	1945	624	1315	18	152	59	121	37	225	247	24	44	
24	1824	775	1326	16	134	225	121	244	180	248	20	27	
25	1896	785	1322	88	21	155	5	37	143	248	51	44	
26	1961	945	1327	85	40	248	9	166	204	243	24	27	
27	1895	964	1355	23	14	228	199	37	204	247	24	44	
28	1935	1012	1349	125	13	184	9	37	193	241	24	64	
29	1985	955	1361	18	40	99	74	12	204	240	51	27	
30	1895	845	1384	18	40	99	74	37	193	240	51	27	
31	1862	1065	1390	18	76	213	9	37	103	247	24	27	
32	1891	1015	1404	87	121	248	9	12	204	225	46	69	
33	1932	967	1409	18	13	99	236	37	204	240	24	71	
34	1955	875	1441	18	13	155	72	37	204	247	24	27	
35	1974	1064	1467	18	10	71	226	37	193	238	46	27	
36	1954	1053	1471	16	7	71	155	37	103	225	107	46	
37	1912	1015	1455	16	14	228	199	37	71	241	28	27	
38	2071	955	1455	18	134	99	74	37	194	248	46	27	
39	1884	1075	1450	125	151	233	9	12	154	240	24	27	
40	1894	1075	1472	16	14	57	155	12	225	241	46	60	
41	2025	1145	1491	16	154	248	72	37	154	240	51	27	
42	1925	1104	1475	183	13	71	9	75	193	240	46	27	
43	1935	1085	1497	205	14	71	72	38	180	241	46	27	
44	1935	1084	1525	18	14	71	82	38	180	241	46	27	
45	1905	1083	1518	90	14	228	72	38	204	241	46	27	
46	1895	965	1523	16	14	228	79	12	180	247	24	27	
47	1973	985	1536	18	61	225	72	37	203	235	51	27	
48	2075	1192	1550	205	13	233	208	37	180	247	24	27	
49	1905	1254	1559	18	14	71	72	38	180	240	24	64	
50	1994	1135	1562	18	14	71	72	37	180	243	24	27	
51	1975	1144	1573	18	14	71	72	37	180	243	24	27	
52	1981	1133	1591	18	14	71	72	37	71	247	24	27	
53	1974	1199	1589	18	14	71	72	28	73	241	24	27	
54	2005	1255	1594	18	14	71	72	37	203	247	24	27	
