Generation	Max Fitness	Min Fitness	Avg Fitness	maxHp	hpRegen	baseDmg	critRate	critDmg	hitRate	dodgeRate	blockRate	blockPower
0	1433	180	905	37	36	174	49	32	184	170	84	30	
1	1375	180	973	155	150	193	121	31	247	192	12	49	
2	1444	240	987	167	148	229	91	120	227	212	55	23	
3	1415	463	1019	121	184	144	161	18	224	192	12	49	
4	1525	425	1049	103	32	137	8	130	227	212	55	23	
5	1534	540	1115	103	244	57	36	94	193	234	55	23	
6	1504	675	1118	190	91	144	161	130	226	212	55	23	
7	1593	715	1138	115	244	102	240	18	224	192	12	49	
8	1655	541	1150	72	140	86	23	18	224	192	12	49	
9	1504	540	1174	167	104	229	129	27	224	192	12	49	
10	1594	531	1183	161	140	30	240	18	224	192	12	49	
11	1573	652	1213	72	6	57	80	97	106	212	12	18	
12	1625	722	1228	121	15	160	23	18	224	180	12	49	
13	1665	855	1242	121	15	160	129	163	226	180	12	49	
14	1755	804	1250	121	181	160	110	18	232	241	12	49	
15	1614	903	1263	121	15	176	36	18	224	180	12	52	
16	1595	803	1260	121	181	160	53	53	70	192	19	52	
17	1715	964	1319	190	42	160	170	18	224	250	102	52	
18	1645	965	1335	177	18	160	110	18	232	179	37	49	
19	1685	775	1359	103	181	160	161	29	226	192	17	18	
20	1665	903	1383	208	18	145	23	18	224	234	12	49	
21	1664	964	1405	208	18	145	23	18	224	234	12	49	
22	1774	994	1430	179	18	145	23	18	224	234	12	18	
23	1844	945	1426	103	15	160	23	18	224	229	51	49	
24	1803	1154	1466	179	102	160	23	18	232	241	12	49	
25	1804	1085	1453	103	15	160	23	18	224	239	42	18	
26	1835	1068	1470	103	18	160	23	18	232	241	12	18	
27	1895	985	1487	179	140	86	23	130	224	193	12	18	
28	1884	985	1532	103	15	144	23	18	243	229	12	18	
29	1884	1164	1563	114	15	160	23	18	224	241	12	18	
30	1855	1225	1590	114	18	144	23	18	243	225	12	18	
31	1895	1315	1617	103	15	144	17	18	106	192	12	18	
32	1795	1345	1595	103	15	176	36	18	106	229	12	18	
33	1864	1325	1582	190	62	144	36	18	106	229	12	18	
34	1865	1325	1575	114	15	160	23	18	106	229	12	18	
35	1893	1335	1589	114	15	160	23	18	106	229	12	18	
36	1863	1345	1592	190	62	160	23	18	106	229	12	18	
37	1885	1315	1608	114	15	160	23	18	106	229	12	18	
38	1845	1255	1614	114	15	160	23	18	106	229	12	18	
39	1873	1175	1636	115	15	86	8	18	102	193	12	18	
40	1894	1205	1638	190	15	137	8	18	243	229	4	18	
41	1882	1285	1620	114	15	152	8	18	243	193	12	18	
42	1895	1344	1652	114	18	171	23	18	232	229	12	18	
43	1915	1295	1681	114	18	158	11	18	224	229	12	18	
44	1988	1374	1713	115	15	160	219	18	232	246	12	18	
45	1953	1405	1711	114	15	144	8	18	232	228	4	18	
46	1954	1444	1714	114	18	86	23	18	224	225	4	18	
47	1945	1444	1706	179	15	86	22	18	224	225	4	18	
48	1953	1495	1697	114	18	86	22	18	224	229	4	18	
49	1965	1445	1705	114	15	144	8	18	232	246	12	18	
50	1984	1504	1730	114	18	144	8	18	232	229	4	18	
51	1985	1505	1739	114	2	86	22	9	232	227	4	18	
52	2025	1445	1754	114	6	86	7	18	232	225	4	18	
53	1982	1325	1762	114	26	160	23	18	232	227	4	18	
54	2041	1414	1773	179	15	144	8	18	243	212	4	18	
55	2043	1414	1771	114	2	158	23	9	224	235	12	18	
56	2023	1405	1760	95	15	86	22	18	224	229	4	18	
57	2041	1425	1759	179	15	86	22	18	224	229	4	18	
58	2044	1494	1777	95	15	86	22	18	224	229	4	18	
59	2025	1435	1764	190	15	86	22	18	224	229	4	18	
60	2024	1395	1781	95	15	86	22	18	224	229	4	18	
61	2041	1525	1785	95	15	86	22	18	224	229	4	18	
62	2025	1555	1794	95	15	86	22	18	224	229	4	18	
63	2025	1593	1792	95	15	86	22	18	224	229	4	18	
64	2044	1575	1796	95	15	86	22	18	224	229	4	18	
65	2045	1505	1806	95	15	160	17	9	122	229	4	0	
66	2073	964	1793	114	2	158	22	18	224	227	4	0	
67	2073	954	1793	95	15	86	22	18	232	219	4	0	
68	2046	1053	1802	114	15	86	22	18	224	227	4	0	
69	2045	1474	1806	95	15	160	23	9	219	229	4	0	
70	2004	1455	1800	114	15	158	23	18	224	229	12	18	
71	2015	1353	1813	95	15	158	23	18	122	212	4	18	
72	1985	1443	1828	95	15	144	23	18	122	212	12	18	
73	2025	1373	1831	95	6	86	23	18	224	229	12	18	
74	2074	1254	1825	114	6	160	22	9	224	212	12	0	
75	2043	1304	1812	95	26	86	23	18	122	212	4	15	
76	2151	1263	1799	114	26	160	8	18	224	229	4	2	
77	2024	1285	1789	95	6	144	23	18	135	204	12	0	
78	2062	1235	1805	95	6	160	23	18	224	212	12	0	
