Generation	Max Fitness	Min Fitness	Avg Fitness	maxHp	hpRegen	baseDmg	critRate	critDmg	hitRate	dodgeRate	blockRate	blockPower
0	1405	180	910	37	36	174	49	32	184	170	84	30	
1	1363	180	971	77	102	89	81	68	126	224	18	76	
2	1555	180	981	155	18	84	49	32	184	170	4	72	
3	1485	222	988	155	18	139	135	162	162	192	12	49	
4	1434	464	994	103	25	174	139	27	193	234	119	51	
5	1565	473	1022	117	25	99	191	27	193	234	84	23	
6	1375	583	1023	103	203	172	8	160	5	234	119	51	
7	1354	617	1012	214	36	99	191	141	227	212	55	1	
8	1365	425	1024	152	41	174	199	18	237	170	84	30	
9	1415	515	1073	124	119	174	199	18	237	170	84	30	
10	1394	695	1101	152	41	174	199	18	111	170	84	30	
11	1375	815	1118	129	95	220	205	141	227	212	65	1	
12	1443	453	1114	88	25	121	205	141	101	224	32	136	
13	1503	815	1143	71	102	99	205	18	224	182	55	11	
14	1445	855	1141	238	203	99	66	104	227	212	55	11	
15	1445	787	1110	238	203	205	66	104	227	212	18	72	
16	1395	785	1133	124	117	89	199	18	227	94	55	72	
17	1515	834	1117	242	95	205	55	5	193	94	18	11	
18	1524	715	1125	109	95	205	55	5	217	200	84	11	
19	1515	745	1134	109	95	144	81	122	193	202	84	11	
20	1555	725	1138	109	95	205	55	5	217	200	84	11	
21	1554	765	1174	109	95	205	55	5	92	200	247	11	
22	1552	834	1169	124	117	205	55	104	203	212	22	33	
23	1532	815	1200	238	95	99	156	94	67	73	22	33	
24	1553	915	1202	152	152	99	66	141	101	212	22	33	
25	1645	905	1196	71	35	99	45	5	217	200	84	11	
26	1683	915	1181	119	95	99	45	5	217	200	84	11	
27	1504	875	1172	71	117	195	81	5	203	180	55	11	
28	1535	895	1193	68	193	205	55	5	227	182	22	23	
29	1495	905	1184	71	193	205	55	5	227	182	22	23	
30	1545	845	1189	68	203	144	55	5	227	182	22	23	
31	1485	895	1183	68	203	195	130	5	227	182	55	11	
32	1525	904	1182	68	102	81	81	5	203	212	55	72	
33	1495	855	1177	71	35	195	55	5	229	182	22	23	
34	1695	895	1191	124	92	205	81	112	111	212	22	23	
35	1624	905	1188	71	35	195	55	5	229	182	32	33	
36	1615	894	1193	109	25	131	55	5	229	182	32	33	
37	1485	905	1187	71	102	205	81	5	203	202	55	72	
38	1525	865	1211	68	95	81	81	5	203	212	55	72	
39	1574	924	1247	68	102	81	91	5	101	182	22	23	
40	1635	875	1268	68	102	81	91	5	111	212	55	23	
41	1591	875	1239	109	35	81	81	5	111	202	55	23	
42	1622	795	1263	68	102	81	81	5	111	202	55	23	
43	1593	944	1280	68	102	81	130	122	111	202	55	23	
44	1624	964	1279	71	152	91	130	141	203	212	74	13	
45	1625	925	1282	68	213	81	81	141	101	222	55	33	
46	1664	965	1292	124	25	121	81	5	203	202	55	23	
47	1683	925	1301	109	95	81	81	5	203	212	22	23	
48	1703	945	1303	68	35	81	81	112	111	94	55	23	
49	1664	965	1293	68	35	81	130	141	213	202	55	33	
