Generation	Max Fitness	Min Fitness	Avg Fitness	maxHp	hpRegen	baseDmg	critRate	critDmg	hitRate	dodgeRate	blockRate	blockPower
0	1536	242	888	95	1	248	49	44	241	127	72	14	
1	1495	365	953	144	191	152	158	44	241	127	72	14	
2	1534	495	989	95	1	158	75	129	187	127	72	14	
3	1444	626	1000	189	44	215	43	211	82	41	77	72	
4	1575	496	1036	74	70	128	229	5	86	216	209	72	
5	1735	436	1052	33	201	81	69	87	70	203	0	33	
6	1853	575	1078	27	80	168	2	26	239	224	0	25	
7	1686	564	1094	201	30	172	26	231	239	224	0	25	
8	1704	514	1110	126	211	162	22	237	171	72	0	25	
9	1702	514	1135	81	231	225	79	26	75	193	63	6	
10	1955	476	1157	27	98	134	186	93	215	234	8	4	
11	2043	525	1208	63	98	125	22	11	210	246	3	38	
12	2065	633	1240	63	76	168	80	136	184	224	14	25	
13	2025	693	1257	44	184	128	3	12	154	11	24	31	
14	1945	634	1259	115	56	111	154	11	212	247	50	13	
15	2165	546	1296	51	142	253	80	11	212	249	14	25	
16	2334	553	1328	149	73	125	80	3	212	247	8	13	
17	2226	555	1319	27	3	112	26	10	212	247	8	25	
18	1972	584	1332	27	73	85	92	11	184	214	8	48	
19	2075	784	1347	44	30	151	18	11	109	234	0	45	
20	2244	765	1380	27	3	111	18	17	215	249	50	6	
21	2176	610	1401	149	3	111	18	17	215	249	50	6	
22	2243	794	1424	27	3	128	89	0	210	249	0	22	
23	2025	915	1441	27	44	128	80	10	212	249	0	6	
24	2093	885	1469	39	44	172	152	26	154	212	8	8	
25	2094	853	1506	27	44	102	22	4	204	246	3	25	
26	2194	636	1500	44	56	111	18	4	210	246	8	8	
27	2156	815	1547	44	56	173	152	26	109	246	8	8	
28	2230	835	1561	33	44	186	18	11	212	249	14	22	
29	2242	805	1578	63	1	168	79	4	85	249	8	22	
30	2136	200	1621	44	56	111	26	11	212	249	14	6	
31	2214	993	1630	27	35	158	18	11	154	246	3	25	
32	2242	1055	1665	44	188	130	154	11	154	246	3	25	
33	2274	1074	1683	27	35	158	18	11	109	246	3	3	
34	2243	1085	1694	27	35	158	18	11	164	249	3	25	
35	2224	1124	1717	51	35	158	18	11	164	249	3	25	
36	2205	1214	1730	44	49	88	21	10	212	249	14	13	
37	2217	1175	1748	20	142	89	80	10	153	249	8	15	
38	2225	1236	1759	51	69	253	18	0	154	191	0	19	
39	2292	1266	1769	44	126	125	80	17	153	246	0	8	
40	2253	1226	1765	44	1	89	79	96	154	246	0	8	
41	2249	1125	1760	20	31	186	152	10	210	249	3	19	
42	2241	1085	1758	20	31	158	18	11	210	249	14	6	
43	2276	896	1767	20	31	125	18	10	212	255	3	19	
44	2314	1145	1794	44	54	130	18	10	212	255	3	19	
45	2254	1315	1799	20	54	130	18	10	212	255	3	19	
46	2332	514	1825	20	35	193	79	26	210	246	14	1	
47	2334	1285	1854	20	31	125	2	10	239	249	0	6	
48	2332	1325	1871	81	54	85	186	10	210	234	0	1	
49	2341	1085	1877	20	31	128	26	4	210	234	0	1	
50	2335	541	1898	20	69	158	92	12	210	255	63	19	
51	2362	1085	1884	51	1	130	18	4	210	246	14	8	
52	2345	985	1875	20	44	130	92	4	210	246	14	8	
53	2343	635	1885	44	1	125	26	4	212	234	3	6	
54	2334	680	1914	44	44	173	80	17	154	249	3	6	
55	2362	655	1930	44	1	125	26	4	231	249	3	6	
56	2361	671	1935	44	1	125	26	26	154	249	3	6	
57	2360	936	1959	20	31	158	2	4	210	251	3	8	
58	2383	906	1957	3	31	112	9	4	231	249	14	1	
59	2404	1054	1970	44	69	193	18	4	210	249	3	1	
60	2344	1214	1975	63	54	130	18	0	210	246	3	1	
61	2342	1215	1977	44	54	112	18	10	231	249	9	1	
62	2326	1366	1993	44	45	130	18	10	210	246	14	1	
63	2361	1175	2005	20	54	130	80	0	210	249	3	1	
64	2382	905	1996	20	69	193	18	44	212	255	3	1	
65	2354	1184	2003	20	35	130	79	10	212	246	0	1	
66	2385	1045	2019	20	35	130	18	0	210	255	2	8	
67	2345	1044	2023	3	35	130	18	44	243	249	27	1	
68	2392	984	2026	44	44	130	18	44	231	255	14	8	
69	2363	1576	2032	20	35	130	26	10	212	255	3	1	
70	2433	1503	2051	20	44	130	18	0	210	249	27	1	
71	2433	1444	2062	20	31	130	18	0	210	249	3	1	
72	2373	1433	2078	51	35	130	18	4	212	249	0	6	
73	2404	1356	2080	20	31	130	116	0	210	249	3	6	
74	2404	1485	2098	44	1	130	18	44	212	234	3	1	
75	2384	1503	2088	20	35	130	26	0	210	255	14	1	
76	2384	1314	2088	20	31	158	18	4	210	249	0	1	
77	2402	1445	2091	44	35	125	17	0	210	249	0	8	
78	2422	1445	2094	3	44	158	26	4	212	255	0	1	
79	2413	1326	2098	3	54	173	18	4	210	255	0	1	
80	2414	1152	2105	3	31	125	18	4	212	255	1	1	
81	2394	1082	2091	3	54	173	18	4	210	246	14	1	
82	2394	1081	2089	20	31	158	18	4	212	255	0	1	
83	2405	1076	2095	3	31	128	9	4	210	236	14	1	
84	2396	1346	2090	3	31	173	16	10	202	255	0	1	
85	2431	1346	2097	3	31	173	16	10	202	255	0	1	
86	2431	1414	2079	56	35	173	16	10	202	255	0	1	
87	2491	1134	2104	44	35	173	18	0	210	255	3	1	
88	2432	1125	2119	44	31	173	16	0	212	255	0	1	
89	2431	1436	2144	20	1	193	18	13	154	246	14	1	
90	2463	1416	2154	13	1	125	18	13	209	249	14	8	
91	2426	1415	2167	13	1	125	18	4	202	255	0	1	
92	2452	686	2148	20	1	158	18	0	212	246	0	8	
93	2451	726	2141	44	1	158	18	0	212	246	0	8	
94	2453	934	2142	20	1	158	18	0	212	255	0	8	
95	2485	911	2152	20	1	158	18	12	212	255	0	8	
96	2454	743	2143	20	1	125	18	0	212	234	0	1	
