Generation	Max Fitness	Min Fitness	Avg Fitness	maxHp	hpRegen	baseDmg	critRate	critDmg	hitRate	dodgeRate	blockRate	blockPower
0	1465	180	902	37	36	174	49	32	184	170	84	30	
1	1395	314	983	196	151	174	49	32	184	170	84	30	
2	1435	448	1019	225	71	206	60	65	197	180	25	140	
3	1414	443	1004	37	36	174	49	32	184	170	84	30	
4	1465	490	1029	37	36	174	166	254	184	170	84	30	
5	1495	636	1054	178	53	76	170	175	161	190	81	50	
6	1554	655	1093	103	6	134	128	244	255	216	106	33	
7	1512	724	1072	135	27	137	8	76	115	250	123	92	
8	1484	685	1076	77	32	137	8	76	70	160	55	23	
9	1465	745	1085	77	32	137	8	76	70	160	55	23	
10	1443	722	1103	103	19	137	20	254	58	246	28	92	
11	1534	694	1128	225	123	231	20	202	117	204	25	30	
12	1484	723	1179	86	19	251	64	122	193	160	84	30	
13	1711	782	1168	77	27	137	8	76	115	213	55	33	
14	1714	835	1211	225	8	251	128	122	193	219	55	33	
15	1755	825	1228	225	27	137	64	56	117	204	8	23	
16	1704	818	1234	86	123	83	64	56	117	204	8	30	
17	1754	735	1251	77	19	231	8	76	115	219	8	23	
18	1614	855	1251	37	27	206	128	152	61	204	8	23	
19	1615	895	1272	77	19	133	36	122	184	246	8	73	
20	1655	865	1311	77	123	137	60	228	117	246	8	73	
21	1665	905	1328	77	19	130	36	122	184	246	8	73	
22	1704	925	1322	37	19	136	8	163	193	213	55	23	
23	1594	993	1330	77	19	133	8	163	193	213	55	23	
24	1555	965	1316	77	19	206	60	99	193	219	55	30	
25	1595	1015	1345	144	27	130	64	122	193	219	8	23	
26	1594	916	1323	77	19	139	8	122	226	213	55	30	
27	1664	1035	1340	77	19	133	8	76	117	213	84	33	
28	1714	1014	1340	77	19	136	8	122	193	213	7	23	
29	1754	1054	1364	77	19	136	8	76	193	213	7	23	
30	1795	945	1366	77	19	136	8	123	117	213	7	23	
31	1804	935	1360	37	27	206	153	202	117	219	55	23	
32	1795	1084	1369	225	27	251	8	76	117	213	8	30	
33	1685	1103	1389	77	27	137	8	76	193	213	84	30	
34	1765	1101	1421	167	18	130	8	66	193	219	55	19	
35	1805	1075	1441	71	19	206	60	66	193	213	8	30	
36	1873	1194	1447	77	27	139	8	76	117	219	7	23	
37	1862	1055	1448	77	19	136	8	66	193	219	7	19	
38	1793	1105	1420	77	19	206	8	76	117	219	7	30	
39	1755	1153	1433	77	19	206	8	76	117	219	7	30	
40	1765	1105	1440	77	19	206	8	76	61	213	7	30	
41	1804	1195	1464	134	18	76	8	66	115	219	7	23	
42	1775	1145	1479	77	19	206	60	76	117	246	7	30	
43	1804	1215	1511	77	19	206	8	76	117	219	7	23	
44	1733	1195	1507	77	19	139	63	108	115	219	8	19	
45	1775	1085	1522	77	18	130	128	108	115	210	7	30	
46	1864	1233	1542	77	27	136	8	76	117	219	8	30	
47	1865	1265	1525	77	27	136	8	99	193	204	84	30	
48	1885	1235	1510	77	19	137	8	76	115	210	7	23	
49	1885	1275	1519	77	19	136	128	76	115	210	7	30	
50	1931	1285	1545	77	18	130	128	108	117	204	7	23	
51	1891	1215	1522	77	19	136	8	66	117	204	7	30	
52	1885	1255	1548	77	19	136	8	66	117	213	7	30	
53	1895	1324	1533	77	19	136	8	66	117	213	7	30	
54	1894	1355	1561	77	19	136	8	66	117	213	7	30	
55	1893	1374	1573	190	18	130	60	108	117	213	7	30	
56	1895	1235	1561	190	19	251	8	66	117	210	7	30	
57	1864	1285	1559	77	27	206	68	107	117	219	8	30	
58	1882	1375	1567	77	19	251	60	76	193	210	7	30	
59	1894	1385	1567	190	19	139	60	108	193	219	7	30	
60	1913	1375	1544	77	19	136	8	66	124	219	7	30	
61	1822	1355	1556	77	19	251	68	66	117	219	7	30	
62	1795	1345	1543	77	19	251	60	112	221	219	13	30	
