Generation	Max Fitness	Min Fitness	Avg Fitness	maxHp	hpRegen	baseDmg	critRate	critDmg	hitRate	dodgeRate	blockRate	blockPower
0	1435	180	911	37	36	174	49	32	184	170	84	30	
1	1435	240	971	37	36	174	49	32	184	77	182	30	
2	1395	244	1012	146	244	18	105	13	134	217	76	93	
3	1589	561	1044	77	32	137	8	130	103	212	55	23	
4	1601	631	1056	77	32	137	8	130	103	212	55	23	
5	1645	650	1065	77	32	137	91	130	193	234	55	23	
6	1554	542	1059	67	36	174	69	13	55	173	12	21	
7	1565	564	1063	67	36	174	49	32	184	178	12	21	
8	1665	685	1131	41	36	174	49	32	184	178	12	21	
9	1715	634	1148	116	150	168	56	88	98	212	12	21	
10	1614	675	1162	154	54	182	49	141	232	178	12	21	
11	1685	605	1188	66	54	71	114	88	103	222	12	21	
12	1574	725	1184	67	86	225	217	78	200	234	55	23	
13	1535	635	1186	66	54	82	69	13	98	212	79	21	
14	1765	825	1229	66	54	225	73	105	224	240	55	17	
15	1755	684	1227	66	232	85	121	36	200	234	55	17	
16	1525	755	1222	66	54	114	22	36	98	212	45	126	
17	1883	715	1238	41	36	174	206	27	200	240	19	21	
18	1524	785	1249	66	54	114	22	36	98	212	45	126	
19	1575	834	1264	41	245	198	66	21	193	249	55	17	
20	1665	696	1275	137	19	198	66	21	193	249	55	23	
21	1823	945	1300	34	36	191	35	130	103	240	19	21	
22	1791	904	1297	146	19	208	35	116	98	240	50	21	
23	1822	924	1310	58	36	136	22	120	200	212	19	21	
24	1774	854	1327	34	54	225	214	130	103	240	19	21	
25	1765	905	1308	116	36	191	35	21	193	249	55	21	
26	1803	815	1298	77	36	191	22	120	155	240	55	23	
27	1755	728	1320	103	19	198	66	22	193	173	50	3	
28	1775	684	1350	72	19	208	16	21	193	236	19	21	
29	1835	725	1394	72	19	208	16	21	193	236	19	21	
30	1895	845	1400	146	19	208	16	21	193	236	19	21	
31	1886	775	1385	103	0	32	35	175	155	240	55	21	
32	1804	745	1390	136	37	225	11	27	155	240	55	21	
33	1794	815	1387	116	54	225	11	27	155	240	55	23	
34	1804	665	1403	77	19	208	22	47	188	240	37	21	
35	1803	1084	1433	77	19	208	22	47	98	225	37	21	
36	1914	1163	1446	52	0	198	22	47	188	249	55	12	
37	1884	835	1447	117	10	198	232	141	165	249	55	12	
38	1825	855	1415	66	19	225	22	27	155	249	50	48	
39	1793	924	1414	66	19	208	66	27	98	227	37	16	
40	1801	962	1401	146	27	225	66	27	98	245	37	16	
41	1753	1084	1416	100	19	180	66	21	188	249	42	23	
42	1757	1105	1448	117	19	208	66	27	98	245	37	5	
43	1844	1105	1454	66	10	208	217	21	184	240	55	21	
44	1775	1005	1466	117	10	136	201	21	188	249	44	16	
45	1775	1225	1500	94	19	208	66	153	193	249	55	5	
46	1845	1226	1515	66	19	208	66	27	98	240	55	0	
47	1887	1225	1494	119	19	136	22	37	149	249	42	16	
48	1895	1195	1520	137	19	136	22	37	149	249	42	16	
49	1863	1215	1523	66	18	217	22	27	149	249	81	5	
50	1825	1085	1528	118	10	136	62	27	188	249	55	0	
51	2094	1225	1517	66	10	136	14	21	188	249	55	12	
52	2092	1125	1561	66	10	136	14	21	188	249	55	12	
53	2092	1075	1564	66	10	136	217	25	188	249	55	12	
54	2130	1194	1507	66	10	136	14	25	188	249	44	16	
55	2112	1035	1524	66	10	136	14	25	188	249	44	16	
56	2110	1215	1529	66	10	136	232	27	149	249	44	16	
57	2074	400	1514	75	19	208	22	27	188	249	44	32	
58	2073	400	1561	66	49	217	76	25	188	230	44	16	
59	2015	400	1584	85	10	136	14	21	149	240	26	16	
60	2034	421	1637	66	18	136	14	21	149	240	26	16	
61	2003	1074	1636	66	18	180	66	21	149	249	26	4	
62	2005	1093	1632	66	18	180	66	21	149	249	26	4	
63	1985	1015	1640	66	3	180	66	21	149	249	26	4	
64	2043	1205	1671	87	33	208	66	21	149	249	26	4	
65	2023	1205	1697	66	3	180	66	21	149	245	44	16	
66	1983	1085	1714	66	46	218	17	2	199	249	44	18	
67	2025	1295	1760	66	10	136	66	25	188	237	26	4	
68	2111	1305	1761	66	10	136	14	17	194	249	44	18	
69	2110	1325	1743	66	3	180	66	41	194	249	44	18	
70	2054	1285	1759	66	19	119	14	34	179	249	48	16	
71	2105	1265	1750	66	19	119	14	18	188	249	36	18	
72	2075	1265	1768	66	19	119	28	31	149	226	42	18	
73	2075	1295	1792	66	19	119	66	25	188	249	6	16	
74	2095	1253	1780	66	19	119	66	25	188	249	6	16	
75	2115	1335	1785	76	3	180	14	21	149	249	37	12	
76	2115	1285	1787	76	3	180	14	25	149	249	37	12	
77	2078	1415	1792	76	19	180	14	28	149	249	37	12	
78	2134	1394	1804	66	3	136	21	41	98	249	55	4	
79	2113	1395	1802	66	19	127	61	2	149	249	35	16	
80	2094	1465	1804	66	3	136	21	41	188	249	35	16	
81	2023	1415	1795	76	19	244	61	2	159	249	42	16	
82	2185	1314	1802	66	10	244	61	2	188	249	26	10	
83	2110	1395	1784	64	19	180	14	2	153	249	37	29	
84	2113	1225	1796	66	12	225	14	24	188	249	37	29	
85	2175	1325	1792	64	19	196	14	2	153	249	35	1	
86	2075	1324	1788	66	19	136	14	21	198	249	37	12	
87	2095	1265	1797	76	3	180	21	14	91	249	37	12	
88	2112	1434	1801	66	19	213	14	21	198	249	37	10	
89	2094	1404	1790	129	19	244	14	21	198	249	37	12	
90	2062	1315	1770	63	19	231	15	17	131	249	26	10	
91	2115	1165	1793	87	19	225	14	41	188	249	26	10	
92	2112	1074	1764	66	19	136	27	28	188	249	26	10	
93	2114	1394	1800	87	19	119	66	28	188	249	46	10	
94	2073	1375	1797	66	19	127	27	28	171	249	42	16	
95	2126	400	1778	66	7	127	34	21	173	249	26	32	
96	2115	1215	1779	66	19	133	29	21	173	249	40	9	
97	2123	1363	1770	66	19	136	19	24	173	249	40	9	
98	2115	1055	1780	66	19	255	84	24	173	249	40	9	
99	2125	1045	1792	59	31	127	34	21	173	249	26	16	
100	2115	1175	1811	59	31	127	34	21	173	249	26	16	
