Generation	Max Fitness	Min Fitness	Avg Fitness	maxHp	hpRegen	baseDmg	critRate	critDmg	hitRate	dodgeRate	blockRate	blockPower
0	1382	181	902	172	102	89	81	68	126	224	18	76	
1	1435	314	990	205	174	19	49	191	224	192	12	49	
2	1375	604	1022	21	75	174	49	32	184	170	84	30	
3	1355	561	1040	21	75	174	49	32	184	170	84	30	
4	1464	681	1092	21	75	174	49	32	184	170	84	30	
5	1534	704	1117	248	95	216	49	32	184	170	84	30	
6	1445	619	1133	21	75	174	8	130	188	249	84	30	
7	1525	835	1191	176	75	174	8	130	188	249	84	30	
8	1535	892	1209	116	150	216	49	32	184	170	84	30	
9	1644	735	1226	176	25	184	223	130	188	249	19	33	
10	1664	753	1252	144	19	79	57	98	188	249	19	25	
11	1663	755	1253	144	19	79	57	98	188	249	19	25	
12	1595	814	1248	196	19	79	57	98	215	252	76	3	
13	1804	222	1253	183	142	139	66	32	134	217	74	3	
14	1715	229	1261	154	125	252	49	32	184	246	8	33	
15	1825	885	1287	144	119	252	66	26	188	252	25	30	
16	1755	795	1305	154	75	174	8	32	184	249	84	30	
17	1615	765	1305	21	75	166	8	32	184	170	19	33	
18	1544	825	1299	21	75	174	8	130	134	217	74	3	
19	1595	805	1337	124	25	184	223	47	184	246	8	33	
20	1594	785	1318	124	25	193	223	41	215	252	76	3	
21	1644	745	1314	58	133	184	57	13	215	246	8	33	
22	1715	705	1359	58	133	184	57	13	215	246	8	33	
23	1793	914	1365	196	19	174	8	47	184	246	8	140	
24	1915	994	1378	58	140	223	57	13	134	249	79	30	
25	1765	1015	1393	196	75	174	8	13	188	249	84	18	
26	1862	1015	1398	58	125	79	11	130	188	246	8	103	
27	1915	1104	1380	17	19	174	8	47	184	249	84	18	
28	1913	1055	1390	196	75	174	57	130	188	246	8	18	
29	2024	1035	1363	196	19	174	8	41	188	252	76	5	
30	1824	1065	1370	21	19	174	11	130	188	246	8	33	
31	1803	1165	1381	58	125	174	8	47	134	198	8	33	
32	1805	1144	1393	196	19	174	8	41	188	246	8	33	
33	1695	1125	1399	196	19	174	8	41	188	246	8	33	
34	1613	1165	1401	124	140	217	57	130	188	252	79	30	
35	1614	1105	1386	124	19	174	8	47	134	217	8	40	
36	1715	1194	1391	124	19	174	8	47	134	217	8	40	
37	1755	1165	1395	131	19	174	8	47	134	217	8	40	
38	1911	1135	1396	124	19	174	8	47	134	246	8	33	
39	1774	1125	1391	58	125	174	8	47	134	246	8	33	
40	1884	1115	1396	196	19	174	8	130	215	252	84	18	
41	1821	1135	1392	124	25	174	8	130	188	246	8	18	
42	1822	1125	1398	58	25	174	8	130	134	245	8	33	
43	1979	1125	1411	58	19	174	8	47	128	246	8	18	
44	1933	1175	1421	58	75	174	8	47	134	246	8	33	
45	1781	1135	1426	58	125	174	8	130	188	246	8	33	
46	1823	1075	1442	124	140	193	223	47	215	252	76	18	
47	1821	1225	1476	196	22	217	52	130	188	217	76	18	
48	1894	1175	1465	58	75	174	8	47	134	246	8	33	
49	1915	1175	1430	124	140	174	8	47	134	246	8	33	
50	1914	1145	1448	58	75	174	8	47	134	246	8	18	
51	1954	1165	1457	58	75	174	8	47	134	246	8	18	
52	1936	1195	1436	124	19	174	8	47	134	246	8	18	
53	1935	1145	1462	124	19	174	8	47	134	246	8	18	
54	2084	1155	1499	58	19	183	8	47	134	246	8	3	
55	2095	1145	1504	124	140	193	223	130	134	246	8	3	
56	2065	1144	1556	124	140	174	8	47	134	246	8	18	
57	2055	1174	1597	58	24	193	8	47	134	246	8	18	
58	2045	1135	1647	124	131	183	223	40	184	252	8	18	
59	2095	1155	1661	58	25	174	8	47	134	246	8	3	
60	2064	1225	1694	58	24	193	8	47	134	246	8	18	
61	2111	1235	1687	58	24	193	8	47	134	246	8	18	
62	2075	1214	1703	58	24	193	8	47	134	249	8	3	
63	2104	1195	1724	124	19	174	8	47	134	246	8	3	
64	2074	1414	1724	58	24	193	8	48	134	246	8	18	
65	2073	1433	1754	58	24	193	8	47	134	246	8	3	
66	2054	1425	1768	58	24	193	8	47	134	246	8	3	
67	1974	1405	1757	124	19	174	8	47	134	246	8	3	
68	1972	1445	1779	127	19	185	8	47	134	246	8	3	
69	1985	1444	1807	127	19	174	8	47	143	249	2	3	
70	2043	1495	1835	124	19	174	8	47	188	246	8	3	
71	2065	1504	1839	61	19	183	8	47	134	246	8	18	
72	2055	1505	1836	61	19	183	8	47	134	246	8	18	
73	2065	1395	1826	61	19	183	8	47	134	246	8	18	
74	2105	1375	1845	61	19	183	8	47	134	240	8	3	
75	2095	1525	1861	61	19	183	8	47	134	240	8	3	
76	2095	1525	1874	61	19	183	8	47	143	249	8	3	
77	2083	1525	1855	61	19	183	8	47	134	246	8	3	
78	2111	1535	1880	124	19	174	8	47	134	246	8	3	
79	2135	1605	1890	61	19	183	8	47	129	240	8	3	
80	2155	1625	1890	61	19	183	8	47	134	240	8	3	
81	2104	1615	1905	61	19	183	8	47	134	246	8	3	
82	2095	1624	1914	127	125	200	8	47	188	246	8	3	
83	2123	1595	1904	124	19	174	8	47	184	249	8	3	
84	2098	1645	1901	124	19	174	8	47	184	249	8	3	
85	2115	1645	1917	61	19	183	8	50	143	249	8	3	
86	2095	1645	1921	61	19	183	8	47	134	246	8	3	
87	2113	1374	1927	61	19	183	8	47	134	249	8	3	
88	2115	1404	1937	124	19	174	8	47	134	240	8	3	
89	2134	1385	1942	61	19	183	8	47	188	249	8	3	
90	2125	1433	1943	127	19	183	8	56	143	246	8	3	
91	2095	1415	1936	61	19	183	8	47	134	246	8	3	
92	2115	1863	1948	61	19	183	16	47	134	246	8	3	
93	2115	1804	1951	61	19	183	16	47	134	246	8	3	
94	2115	1805	1958	61	19	174	8	47	184	249	8	1	
95	2124	1373	1942	61	19	183	8	47	134	240	8	3	
