Generation	Max Fitness	Min Fitness	Avg Fitness	maxHp	hpRegen	baseDmg	critRate	critDmg	hitRate	dodgeRate	blockRate	blockPower
0	1394	181	904	155	18	84	219	18	224	192	12	49	
1	1455	240	981	59	132	192	147	225	180	170	84	30	
2	1435	494	995	146	36	174	49	32	230	170	84	23	
3	1525	575	1005	242	72	211	68	18	221	192	12	49	
4	1485	600	1068	242	72	211	68	18	221	246	19	49	
5	1535	492	1066	242	72	211	85	18	221	246	19	49	
6	1555	575	1080	182	72	159	85	18	221	246	19	49	
7	1645	532	1161	21	54	227	144	120	221	185	94	21	
8	1625	400	1175	146	36	174	61	32	230	170	19	21	
9	1645	311	1184	124	53	183	66	120	221	197	19	21	
10	1643	490	1174	124	53	76	80	5	188	197	19	21	
11	1765	560	1242	124	53	144	49	32	188	246	19	21	
12	1794	544	1270	124	88	76	80	5	188	197	131	21	
13	1825	663	1287	114	10	76	80	5	136	197	15	21	
14	1845	639	1306	114	53	84	47	32	188	246	15	21	
15	1715	745	1342	114	10	76	80	117	198	73	15	21	
16	2075	815	1320	58	18	131	61	10	198	250	19	21	
17	2073	1014	1388	58	18	131	61	10	198	250	19	21	
18	2065	1035	1387	58	72	216	219	190	198	250	19	21	
19	1895	1045	1380	58	18	131	80	10	149	250	19	69	
20	1974	705	1404	58	18	131	80	10	149	250	19	69	
21	1945	674	1401	86	10	76	182	10	149	250	19	69	
22	1775	763	1410	58	18	131	80	10	188	197	19	21	
23	1955	240	1394	169	71	84	80	10	149	250	19	69	
24	2005	1105	1432	58	136	206	64	92	102	250	19	21	
25	1855	1065	1434	71	8	160	37	14	177	197	19	21	
26	1805	965	1437	58	18	131	80	10	188	197	19	16	
27	1735	1015	1438	58	18	131	80	10	188	197	19	16	
28	1794	994	1422	58	18	131	80	17	141	197	19	16	
29	1823	905	1425	58	18	76	64	10	188	197	19	16	
30	1905	875	1446	58	18	76	80	10	188	197	19	16	
31	1885	945	1462	169	113	206	80	5	141	197	19	16	
32	1714	935	1454	86	10	206	80	9	102	197	12	21	
33	1773	955	1461	114	18	131	76	92	102	156	12	26	
34	1775	995	1477	155	136	27	80	5	102	195	19	21	
35	1973	955	1464	124	88	131	64	11	188	250	15	21	
36	1774	947	1477	124	88	131	64	11	188	250	15	21	
37	1893	984	1484	58	71	131	64	11	188	250	15	26	
38	1803	1143	1481	124	150	99	76	11	141	246	19	21	
39	1935	1046	1467	44	71	131	80	9	173	246	19	26	
40	1894	1141	1511	107	150	227	80	14	188	197	12	26	
41	1965	1031	1534	58	71	131	64	11	188	250	19	21	
42	1911	1225	1539	44	88	131	80	10	188	246	9	26	
43	1845	1164	1524	117	31	75	81	14	235	250	12	21	
44	1895	1080	1532	124	12	131	60	13	188	197	19	21	
45	1845	1233	1488	44	88	131	80	10	188	246	9	26	
46	1865	1164	1510	44	88	131	80	10	188	246	9	26	
47	2062	1124	1504	44	88	131	80	10	188	246	11	26	
48	2065	1084	1512	44	22	131	80	10	188	246	19	26	
49	2064	1084	1547	44	88	131	80	10	188	246	9	26	
50	2065	943	1577	44	22	131	80	10	188	246	9	26	
51	2064	1074	1590	33	150	163	80	14	188	51	9	26	
52	1915	1054	1560	44	22	131	80	20	220	246	23	26	
53	2065	1035	1581	44	22	131	80	11	141	185	23	26	
54	2092	1075	1559	44	22	131	80	12	188	250	9	26	
55	2073	1075	1559	116	17	227	80	10	188	250	9	26	
56	2095	1033	1583	44	22	131	80	17	188	250	9	26	
57	2073	1123	1597	44	22	131	80	13	141	250	9	26	
58	2063	1163	1605	44	22	131	80	13	141	250	9	26	
59	2073	1135	1651	44	22	227	100	14	141	250	9	32	
60	2095	1165	1630	117	10	131	80	13	188	250	19	26	
