Generation	Max Fitness	Min Fitness	Avg Fitness	maxHp	hpRegen	baseDmg	critRate	critDmg	hitRate	dodgeRate	blockRate	blockPower
0	1454	181	909	37	36	174	49	32	184	170	84	30	
1	1445	262	975	225	36	174	49	32	184	170	84	30	
2	1465	262	1006	37	36	165	49	32	184	170	84	30	
3	1664	723	1035	90	72	95	49	32	215	252	127	3	
4	1615	473	1076	90	72	95	49	32	215	252	127	3	
5	1622	724	1115	90	72	95	49	32	215	252	127	3	
6	1645	705	1169	90	72	95	49	32	215	224	18	249	
7	1625	795	1173	90	226	206	60	65	115	233	61	21	
8	1524	492	1173	172	59	116	191	13	208	182	204	3	
9	1525	451	1197	101	222	208	25	27	218	233	61	21	
10	1495	922	1234	67	71	208	25	27	218	233	61	21	
11	1664	865	1249	67	71	116	191	94	197	233	61	21	
12	1645	905	1293	67	71	208	35	27	218	233	61	21	
13	1575	965	1318	67	71	208	35	27	218	233	61	21	
14	1595	995	1315	67	71	126	43	60	208	234	27	87	
15	1595	1035	1333	172	72	104	60	27	218	233	61	21	
16	1645	1074	1344	37	71	126	43	60	208	234	27	87	
17	1614	1063	1330	37	71	126	43	76	193	252	27	87	
18	1684	1054	1334	37	71	126	43	60	117	252	27	87	
19	1665	1074	1353	72	71	105	60	94	177	233	17	21	
20	1684	1075	1369	182	59	126	76	94	177	233	17	21	
21	1575	1125	1342	172	59	196	191	27	218	224	17	87	
22	1605	1095	1364	182	59	206	76	60	117	252	27	87	
23	1555	1115	1368	77	186	196	191	27	208	234	17	87	
24	1674	1165	1379	67	59	136	15	27	193	224	27	21	
25	1845	1105	1415	67	59	136	76	27	193	224	27	21	
26	1825	1165	1410	77	59	136	15	27	193	234	27	21	
27	1845	1085	1416	77	59	136	15	60	208	205	27	21	
28	1665	1085	1408	72	49	196	15	60	208	205	17	21	
29	1733	1105	1435	182	49	136	15	27	193	224	27	26	
30	1714	1175	1438	172	49	136	15	94	177	234	17	31	
31	1825	1175	1449	72	49	136	15	37	228	234	17	31	
32	1775	1214	1450	72	49	136	15	37	218	234	17	31	
33	1754	1185	1449	72	186	208	25	27	193	214	27	21	
34	1804	1074	1457	72	49	126	15	60	177	234	17	31	
35	1825	1174	1483	72	49	126	15	60	177	234	17	31	
36	1844	1234	1476	62	69	126	15	60	177	234	17	31	
37	1805	1255	1494	62	69	126	5	76	187	224	27	31	
38	1865	1215	1498	172	186	206	15	60	177	234	7	26	
39	1773	1255	1508	172	69	136	15	27	177	233	27	87	
40	1932	1265	1521	62	49	126	5	27	193	234	27	31	
41	1931	1284	1528	72	39	216	5	17	208	234	27	31	
42	1825	1315	1524	62	59	126	15	17	218	234	17	41	
43	1754	1235	1508	62	49	126	15	17	193	234	27	87	
44	1804	1254	1508	62	59	126	35	50	193	234	17	41	
45	1804	1165	1488	162	186	206	15	27	208	224	7	31	
46	1795	1135	1506	62	59	216	25	60	187	234	17	41	
47	1803	1305	1533	62	69	136	5	27	177	244	27	67	
48	1806	1304	1532	62	49	216	5	27	177	244	27	67	
49	1795	1255	1530	62	49	186	251	17	228	234	37	41	
50	1775	1255	1515	162	49	186	15	76	177	244	27	21	
51	1882	1255	1537	62	49	126	25	17	218	234	17	31	
52	1865	1095	1542	62	49	126	25	105	218	197	71	31	
53	1915	1304	1546	62	49	216	25	27	218	252	27	21	
54	1894	1354	1579	62	39	126	25	50	218	244	37	41	
55	1895	1324	1572	62	39	126	35	7	218	252	37	41	
56	1934	1315	1583	62	69	126	25	17	218	252	37	41	
57	1945	1293	1578	72	49	126	35	17	208	234	27	21	
58	1933	1244	1586	182	39	126	15	66	218	252	37	41	
59	1895	1215	1573	172	39	176	25	27	198	252	27	21	
60	2002	1135	1613	90	49	186	25	37	208	252	27	21	
61	2002	1195	1620	62	49	126	35	7	187	252	37	31	
62	2004	1325	1645	62	49	126	35	7	187	252	37	31	
63	2044	1365	1640	62	29	126	25	17	198	197	27	31	
64	2004	1285	1635	62	49	126	25	17	187	252	37	31	
65	2000	1165	1647	172	49	126	25	17	187	252	37	31	
66	2073	1325	1651	62	39	116	15	27	228	252	17	21	
67	2043	1305	1655	172	59	206	25	17	218	244	17	21	
68	2072	1305	1656	52	39	126	25	47	208	234	27	21	
69	2063	1283	1695	62	39	126	25	17	228	252	17	1	
70	2072	1135	1692	52	29	216	25	47	198	252	7	11	
71	2015	1175	1691	52	39	216	25	27	218	204	17	21	
72	1983	1245	1698	52	39	186	25	17	228	254	37	57	
73	1985	1105	1663	52	39	186	15	27	208	252	37	21	
74	2114	1025	1678	62	69	216	15	7	187	252	17	21	
75	2113	1085	1707	162	49	116	15	17	218	254	27	21	
76	2105	1005	1705	62	59	216	25	37	208	252	17	21	
77	2073	1134	1698	52	49	116	15	17	187	252	17	21	
78	2075	1054	1690	62	49	126	15	17	198	254	27	1	
79	2125	1054	1682	62	49	126	15	17	198	254	27	1	
80	2064	1235	1662	62	39	116	25	17	218	252	37	11	
81	2094	1124	1693	62	39	126	25	17	198	252	27	21	
82	2075	1235	1720	82	39	116	35	27	198	254	7	21	
83	2092	1215	1758	62	39	126	25	17	198	254	27	21	
84	2095	1055	1747	62	49	116	25	27	198	252	7	21	
85	2134	1085	1765	62	49	126	35	105	198	252	27	11	
86	2115	1155	1768	52	49	126	35	105	198	252	27	21	
87	2125	995	1732	62	39	196	35	17	198	252	7	21	
88	2062	1025	1758	52	49	126	25	95	218	252	7	11	
89	2153	1075	1734	52	39	116	25	17	198	252	27	1	
90	2151	1035	1751	62	59	126	15	17	198	252	7	21	
