Generation	Max Fitness	Min Fitness	Avg Fitness	maxHp	hpRegen	baseDmg	critRate	critDmg	hitRate	dodgeRate	blockRate	blockPower
0	1665	133	989	225	71	206	60	65	197	28	123	92	
1	1684	375	1101	225	71	206	60	6	14	61	208	92	
2	1785	475	1109	95	183	42	57	47	184	186	123	92	
3	1653	595	1124	201	125	251	20	56	197	28	123	92	
4	1834	604	1142	30	95	216	20	56	197	28	123	92	
5	1765	564	1193	77	147	253	20	56	197	28	123	159	
6	1664	705	1238	41	197	221	23	65	197	28	26	210	
7	1905	615	1230	71	18	84	13	194	197	28	26	59	
8	1845	341	1237	30	95	216	21	47	197	28	136	92	
9	1764	280	1221	178	45	243	59	122	188	38	35	210	
10	1725	272	1229	102	143	253	64	56	197	38	45	64	
11	2004	914	1257	102	95	253	21	69	197	28	26	59	
12	1945	843	1239	102	95	253	21	69	197	28	26	59	
13	1945	773	1229	30	53	76	59	65	197	28	35	55	
14	1835	855	1227	254	3	216	21	55	197	38	154	55	
15	1733	885	1240	254	3	220	225	186	214	95	6	55	
16	1895	865	1295	102	3	216	166	56	214	95	6	55	
17	1905	885	1325	102	3	216	166	56	214	95	6	55	
18	1905	933	1336	102	3	216	64	56	214	95	6	55	
19	2155	894	1334	102	3	216	64	56	214	95	45	55	
20	1965	924	1337	102	3	216	166	56	214	95	6	55	
21	2105	885	1357	102	100	216	69	82	134	104	6	55	
22	1925	915	1339	218	3	220	64	82	184	85	6	55	
23	1804	825	1357	254	95	216	64	56	184	105	45	51	
24	1945	885	1335	2	3	220	64	82	184	85	6	55	
25	1993	271	1352	102	3	220	215	186	134	104	6	55	
26	1902	230	1370	101	100	216	225	95	205	85	136	55	
27	1775	230	1400	102	100	253	20	56	205	28	26	92	
28	2025	935	1408	30	100	253	20	82	134	251	26	18	
29	2254	935	1426	102	3	253	20	56	205	28	26	92	
30	2045	1005	1436	77	3	253	20	82	205	95	45	55	
31	2113	905	1446	67	3	216	20	56	205	19	26	92	
32	2104	885	1482	77	53	253	20	82	205	28	26	92	
33	2085	985	1522	102	3	253	20	82	205	95	45	55	
34	2115	975	1526	102	3	216	225	56	205	19	26	92	
35	2025	935	1525	77	197	216	64	56	205	104	26	92	
36	2165	1145	1555	104	197	209	225	82	205	95	45	18	
37	2105	1215	1578	104	53	216	64	82	134	29	26	18	
38	1975	1145	1607	102	3	253	20	82	184	28	26	92	
39	2255	1245	1625	102	3	253	20	82	205	28	1	18	
