Generation	Max Fitness	Min Fitness	Avg Fitness	maxHp	hpRegen	baseDmg	critRate	critDmg	hitRate	dodgeRate	blockRate	blockPower
0	1374	180	903	172	102	89	81	68	126	224	18	76	
1	1505	555	981	37	36	120	49	32	184	170	84	30	
2	1505	442	1005	37	206	168	250	185	184	170	84	30	
3	1465	454	989	61	36	120	49	32	66	233	61	21	
4	1685	470	1046	37	197	205	128	244	171	234	84	30	
5	1714	475	1120	37	36	120	49	32	247	234	84	30	
6	1685	674	1126	37	72	198	25	105	113	139	45	30	
7	1435	655	1139	152	32	206	53	65	170	180	84	30	
8	1385	672	1140	37	72	198	25	65	184	170	84	30	
9	1483	785	1147	61	18	137	49	65	184	179	76	21	
10	1535	875	1139	61	18	137	206	59	47	154	76	21	
11	1715	874	1147	37	36	120	49	26	171	204	84	30	
12	1685	664	1158	37	36	120	49	105	171	28	25	30	
13	1485	775	1135	37	36	120	69	105	166	186	84	18	
14	1645	815	1152	37	109	229	69	105	171	179	45	30	
15	1555	855	1170	37	71	206	8	59	101	204	45	18	
16	1625	785	1182	37	36	120	69	41	166	154	45	27	
17	1625	814	1246	37	36	120	69	26	166	186	61	30	
18	1625	905	1252	37	36	121	49	105	171	221	45	30	
19	1624	915	1249	238	183	121	49	105	171	221	45	30	
20	1645	855	1241	37	36	167	69	41	166	233	84	27	
21	1625	875	1248	37	36	167	69	41	53	170	156	27	
22	1615	875	1256	37	71	252	8	41	176	233	45	49	
23	1713	865	1282	37	71	120	60	75	171	233	45	49	
24	2001	180	1311	176	36	120	8	41	176	233	45	30	
25	1805	814	1309	37	71	198	8	41	171	233	45	18	
26	1755	854	1308	238	183	121	49	65	53	186	45	18	
27	1615	1015	1322	176	71	252	69	26	247	170	45	27	
28	1615	984	1317	37	36	167	69	65	166	186	45	27	
29	1615	964	1335	37	71	229	8	32	101	154	45	30	
30	1555	965	1341	37	36	229	69	65	166	186	17	30	
31	1574	995	1338	77	71	206	69	26	166	202	35	73	
32	1554	995	1340	155	71	206	49	59	184	186	17	30	
33	1575	925	1381	77	40	206	69	26	166	233	45	73	
34	1624	965	1383	37	71	167	69	26	166	233	84	30	
35	1775	1135	1417	37	71	167	69	26	166	186	45	30	
36	1735	1085	1399	37	71	167	69	26	166	233	17	30	
37	1775	994	1396	176	71	120	69	26	166	233	17	30	
38	1615	965	1391	176	71	229	69	59	184	186	17	18	
39	1585	993	1386	37	71	252	49	32	173	233	102	18	
40	1614	993	1394	37	71	206	49	26	166	177	84	30	
41	1623	985	1379	37	71	120	69	59	166	233	84	30	
42	1574	1195	1400	152	71	206	69	59	238	202	45	18	
43	1535	1175	1400	176	68	206	49	65	166	238	45	18	
44	1565	1215	1388	176	68	206	69	65	166	238	45	18	
45	1554	1215	1399	155	71	206	69	59	166	177	17	19	
46	1595	1295	1417	176	68	229	69	65	184	238	45	18	
47	1592	1225	1416	176	40	120	69	59	166	233	84	9	
48	1593	1215	1415	176	40	206	49	59	166	177	45	9	
49	1555	1225	1410	176	71	228	69	32	184	154	17	18	
50	1525	1135	1393	176	71	252	69	59	247	177	45	18	
51	1585	1215	1421	176	71	252	69	32	172	238	45	18	
52	1574	1205	1428	177	71	124	69	32	238	238	45	18	
53	1625	1175	1417	176	68	124	49	26	247	238	45	18	
54	1623	1175	1428	176	68	229	49	26	247	238	45	18	
55	1665	1295	1442	176	68	229	49	26	184	238	45	18	
56	1615	1255	1430	77	71	228	69	65	184	238	45	18	
57	1615	1285	1421	176	68	229	49	26	184	186	45	18	
58	1615	1234	1418	77	71	228	63	26	184	238	45	18	
59	1735	1264	1425	176	68	228	69	26	184	238	45	18	
60	1685	1265	1436	77	60	120	69	65	166	238	45	18	
61	1705	1304	1439	77	71	120	69	59	184	170	45	18	
62	1594	1275	1427	176	68	206	69	59	166	170	45	9	
63	1645	1265	1419	176	71	206	69	26	166	238	25	11	
64	1614	1264	1421	176	71	206	69	26	166	238	25	11	
65	1644	1125	1433	176	68	252	69	32	242	238	45	18	
